sent;sentcorrect;level
Wenn jeder darüber nachdenkt, was wir der Natur danken, seine Einstellung zu Ihr ändern wird, wird sich vielleicht etwas ändern.;Wenn jeder darüber nachdenkt, was wir der Natur danken, seine Einstellung dazu ändern wird, wird sich vielleicht etwas ändern.;2
Das ist bekannt, dass die Helden normalweise diejenigen genannt werden, die die Heldentat machen.;Das ist bekannt, dass die Helden normalweise diejenigen genannt werden, die die Heldentat vollbringen.;2
Die Leute wissen nicht über sie.;Die Leute wissen nichts über sie.;2
Helden können auch Menschen unbekannt sein, die mutige Taten vollbrachten, das Leben einer Person oder eines Tieres retteten und in einem gefährlichen Moment mutig waren.;Helden können auch unbekannte Menschen sein, die mutige Taten vollbrachten, das Leben einer Person oder eines Tieres retteten und in einem gefährlichen Moment mutig waren.;2
Helden können auch unbekannte Menschen werden, die mutige Taten vollbrachten, das Leben einer Person oder eines Tieres retteten und in einem gefährlichen Moment mutig waren.;Helden können auch unbekannte Menschen sein, die mutige Taten vollbrachten, das Leben einer Person oder eines Tieres retteten und in einem gefährlichen Moment mutig waren.;2
Zum Beispiel, weiß ich eine Person, einen Jungen aus meiner Stadt.;Zum Beispiel weiß ich eine Person, einen Jungen aus meiner Stadt.;1
Zum Beispiel weiß ich eine Person, ein Jung aus meiner Stadt.;Zum Beispiel weiß ich eine Person, einen Jungen aus meiner Stadt.;2
Der Jung eilte ohne zu zögern, um sie zu retten.;Der Junge eilte ohne zu zögern, um sie zu retten.;2
Sie beide war tot.;Sie beide waren tot.;2
Aber, der Bruder war sehr gewagt und tapfer.;Aber der Bruder war sehr gewagt und tapfer.;1
Er dachte über Gefahr nicht, weil er seine Schwester retten möchte.;Er dachte über Gefahr nicht, weil er seine Schwester retten wollte.;2
Noch können wi r an eine Tat von Puschkin erinnern.;Noch können wi uns r an eine Tat von Puschkin erinnern.;2
Noch können wi uns r eine Tat von Puschkin erinnern.;Noch können wi uns r an eine Tat von Puschkin erinnern.;2
Noch können wi uns r an eine Handlung von Puschkin erinnern.;Noch können wi uns r an eine Tat von Puschkin erinnern.;2
Diese zwei Beispiele zeigen uns, dass der Heldenmut nicht immer bei bekannten Leuten vorkommt.;Diese zwei Beispiele zeigen uns, dass der Heldenmut nicht nur bei bekannten Leuten vorkommt.;3
Diese zwei Beispiele zeigen uns, dass der Heldenmut nicht nur für bekannte Leute sind.;Diese zwei Beispiele zeigen uns, dass der Heldenmut nicht nur bei bekannten Leuten vorkommt.;2
Zum Schluss möchte ich sagen, dass die richtige Helden unter uns sind.;Zum Schluss möchte ich sagen, dass die richtigen Helden unter uns sind.;2
Wir alle können als sie werden.;Wir alle können wie sie werden.;2
Für manche ist Glück in Liebeund Familie, für jemanden in der Karriere und Geld.;Für manche ist Glück in der Liebeund Familie, für jemanden in der Karriere und Geld.;1
Für manche ist Glück in der Liebe, Familie, für jemanden in der Karriere und Geld.;Für manche ist Glück in der Liebeund Familie, für jemanden in der Karriere und Geld.;1
Für manche ist Glück in der Liebeund Familie, für jemanden in einer Karriere und Geld.;Für manche ist Glück in der Liebeund Familie, für jemanden in der Karriere und Geld.;1
Für manche ist Glück in der Liebe Familie, für jemanden in der Karriere und Geld.;Für manche ist Glück in der Liebeund Familie, für jemanden in der Karriere und Geld.;1
Ich denke, dass das echtes Glück in Liebe und Wohlergehen ist.;Ich denke, dass das echte Glück in Liebe und Wohlergehen ist.;2
Zum Beispiel, in Puschkins Werk Die Hauptmannstochter verliebt sich Peter Grinev in Masha Mironova.;Zum Beispiel in Puschkins Werk Die Hauptmannstochter verliebt sich Peter Grinev in Masha Mironova.;1
Zum Beispiel in Puschkins Werk Die Tochter des Kapitäns verliebt sich Peter Grinev in Masha Mironova.;Zum Beispiel in Puschkins Werk Die Hauptmannstochter verliebt sich Peter Grinev in Masha Mironova.;1
Sie überwinden Schwierigkeiten, zusammen zu sein.;Sie überwinden Schwierigkeiten, um zusammen zu sein.;2
Im Finale der Arbeit bleiben sie zusammen und finden Glück.;Im Finale des Werks bleiben sie zusammen und finden Glück.;3
Im Märchen Der Zauberer der smaragdgrünen Stadt hatte jeder sein eigenes Konzept von Glück.;Im Märchen Der Zauberer der Smaragdenstadt hatte jeder sein eigenes Konzept von Glück.;1
Im Märchen Der Zauberer der Smaragdenstadt hatte jeder Hsein eigenes Konzept von Glück.;Im Märchen Der Zauberer der Smaragdenstadt hatte jeder sein eigenes Konzept von Glück.;1
Der Löwe nahm Mut auf.;Der Löwe bekam wieder Mut.;3
Goodwin machte ein Herz für den Holzfäller, er gab der Vogelscheuche den Gehirn.;Goodwin machte ein Herz für den Holzfäller, er gab der Vogelscheuche das Gehirn.;2
Zum Schluss möchte ich sage, dass es keine Antwort auf die Frage Was ist Glück?;Zum Schluss möchte ich sagen, dass es keine Antwort auf die Frage Was ist Glück?;2
Zum Schluss möchte ich sagen, dass es keine Antwort auf die Fragen Was ist Glück?;Zum Schluss möchte ich sagen, dass es keine Antwort auf die Frage Was ist Glück?;2
Die Kinder, die über sie gemobbt haben, wurden von ihren Eltern selbst vernachlässigt.;Die Kinder, die sie gemobbt haben, wurden von ihren Eltern selbst vernachlässigt.;2
Die Kinder, die sie gemobbt wurden, wurden von ihren Eltern selbst vernachlässigt.;Die Kinder, die sie gemobbt haben, wurden von ihren Eltern selbst vernachlässigt.;3
Die Kinder, die sie gemobbt haben, wurden von ihren Eltern selbst geworfen.;Die Kinder, die sie gemobbt haben, wurden von ihren Eltern selbst vernachlässigt.;3
Dort war die Situation ernst, Mobbing Klassenkameraden brachte das Mädchen zum Selbstmord.;Dort war die Situation ernst, Mobbing von Klassenkameraden brachte das Mädchen zum Selbstmord.;3
Lassen Sie mich zum Schluss noch sagen, dass das Thema Mobbing in der Schule ist immer noch aktuell.;Lassen Sie mich zum Schluss noch sagen, dass das Thema Mobbing in der Schule immer noch aktuell ist.;2
Traditionelle Werte Ich möchte heute folgendes Thema präsentieren: die traditionelle Werte.;Traditionelle Werte Ich möchte heute folgendes Thema präsentieren: die traditionellen Werte.;2
Ich werde versuchen, beide Blicke zu diesem Problem aufzudecken.;Ich versuche, beide Blicke zu diesem Problem aufzudecken.;2
Ich versuche beide Blicke zu diesem Problem aufzudecken.;Ich versuche, beide Blicke zu diesem Problem aufzudecken.;1
Ich versuche, beide Blicken zu diesem Problem aufzudecken.;Ich versuche, beide Blicke zu diesem Problem aufzudecken.;2
Die Familie und Liebe, Freunde sind sehr wichtig für mich. Ich schätze auch Treue, Freundlichkeit in den Menschen.;Die Familie und Liebeund Freunde sind sehr wichtig für mich. Ich schätze auch Treue, Freundlichkeit in den Menschen.;1
Der Patriotismus ist für mich nicht der Hauptwert.;Der Patriotismus ist für mich kein Hauptwert.;2
Tolstoi für Natasha Rostova waren Familie und Liebe die Hauptwerte, die sie am meisten schätzte.;Tolstoi für Natascha Rostowa waren Familie und Liebe die Hauptwerte, die sie am meisten schätzte.;1
Sie konnte sich ihr Leben ohne Eltern und Bruder und später auch ohne Bolkonski nicht vorstellen.;Sie konnte sich ihr Leben ohne Eltern und Bruder und später auch ohne Bolkonskij nicht vorstellen.;1
Natascha verliebte sich in ihn und fühlte sich erfüllt.;Natascha verliebte sich in ihn und fühlte sich inspiriert.;2
ihre Eltern haben Ihr seit ihrer Kindheit Respekt und Liebe für ihre Familie vermittelt.;ihre Eltern haben Ihr von ihrer Kindheit an Respekt und Liebe für ihre Familie vermittelt.;2
Als Beispiel für Patriotismus sprechen wir über Rostows und Bolkonskijs Familie.;Als Beispiel für Patriotismus sprechen wir über die Rostows und Bolkonskijs Familie.;1
Als Beispiel für Patriotismus sprechen wir über die Rostovs und Bolkonskys Familie.;Als Beispiel für Patriotismus sprechen wir über die Rostows und Bolkonskijs Familie.;1
Sie helfen dem Land nicht nur Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt den Transport für Verwundeten.;Sie helfen dem Land nicht nur mit Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt den Transport für Verwundeten.;2
Sie helfen dem Land nicht nur Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt den Transport für Verwundeten.;Sie helfen dem Land nicht nur mit Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt den Transport für Verwundeten.;2
Sie helfen dem Land nicht nur mit Wort, sondern auch mit Geschäft: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt den Transport für Verwundeten.;Sie helfen dem Land nicht nur mit Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt den Transport für Verwundeten.;2
Sie helfen dem Land nicht nur mit Wort, sondern auch mit Tat: Andrey Bolkonsky geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt den Transport für Verwundeten.;Sie helfen dem Land nicht nur mit Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt den Transport für Verwundeten.;1
Sie helfen dem Land nicht nur mit Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolay und Petya auch, Natascha Rostowa gibt den Transport für Verwundeten.;Sie helfen dem Land nicht nur mit Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt den Transport für Verwundeten.;2
Sie helfen dem Land nicht nur mit Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natasha Rostova gibt den Transport für Verwundeten.;Sie helfen dem Land nicht nur mit Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt den Transport für Verwundeten.;1
Sie helfen dem Land nicht nur mit Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt ein Transport für Verwundeten.;Sie helfen dem Land nicht nur mit Wort, sondern auch mit Tat: Andrej Bolkonskij geht in den Krieg, Nikolaj und Petja auch, Natascha Rostowa gibt den Transport für Verwundeten.;1
Der wahre Patriot kann auch Pjerre Besukhow genannt werden.;Als Der wahre Patriot kann auch Pjerre Besukhow genannt werden.;2
Als Der wahre Patriot kann auch Pierre Bezukhov genannt werden.;Als Der wahre Patriot kann auch Pjerre Besukhow genannt werden.;1
Diese Handlungen zeigen Selbstaufopferung und Mut, die Liebe zu  Heimat, den Wunsch, ihr zu helfen.;Diese Handlungen zeigen Selbstaufopferung und Mut, die Liebe zu der Heimat, den Wunsch, ihr zu helfen.;1
Diese Handlungen zeigen Selbstaufopferung und Mut, die Liebe zu der ihrerHeimat, den Wunsch, ihr zu helfen.;Diese Handlungen zeigen Selbstaufopferung und Mut, die Liebe zu der Heimat, den Wunsch, ihr zu helfen.;2
Diese Handlungen zeigen Selbstaufopferung und Mut die Liebe zu der Heimat, den Wunsch, ihr zu helfen.;Diese Handlungen zeigen Selbstaufopferung und Mut, die Liebe zu der Heimat, den Wunsch, ihr zu helfen.;1
Vielleicht ist der Patriotismus in den Hintergrund gerückt, aber Liebe und Familie stehen immer noch an Erster Stelle.;Vielleicht ist der Patriotismus in den Hintergrund gerückt, aber Liebe und Familie stehen immer noch an der ersten Stelle.;1
Ich hoffe, dass ihr einen Eindruck von dieses Thema bekommen habt.;Ich hoffe, dass ihr einen Eindruck von diesem Thema bekommen habt.;2
Ich denke, dass von mir aufgeführten Werte in der Gesellschaft noch lange relevant sein werden.;Ich denke, dass von mir aufgeführte Werte in der Gesellschaft noch lange relevant sein werden.;2
Was mich betrifft, betrachte ich mich selbst als Feministin, daher stimme ich dieser Aussage nicht zu.;Was mich betrifft, betrachte ich mich selbst als Feministin, daher stimme ich der Aussage im Titel nicht zu.;3
Wenn wir von Anfang an sprechen, hat die Bewegung Frauen erlaubt, bei den Wahlen ein Wahlrecht zu haben.;Wenn wir von Anfang an sprechen, hat die Bewegung den Frauen erlaubt, bei den Wahlen ein Wahlrecht zu haben.;1
Wenn wir von Anfang an sprechen, hat die Bewegung Frauen erlaubt, bei den Wahlen ein Wahlrecht zu haben.;Wenn wir von Anfang an sprechen, hat die Bewegung den Frauen erlaubt, bei den Wahlen ein Wahlrecht zu haben.;1
Besonders in Russland gilt es an diesem Tag als richtig, Blumen zu geben, Frauen einfach dazu zu gratulieren, wie zart und zerbrechlich, schwach sie sind.;Besonders in Russland gilt es an diesem Tag als richtig, Blumen zu schenken, Frauen einfach dazu zu gratulieren, wie zart und zerbrechlich, schwach sie sind.;2
Besonders in Russland gilt es an diesem Tag als richtig, Blumen zu schenken, Frauen einfach dafür zu gratulieren, wie zart und zerbrechlich, schwach sie sind.;Besonders in Russland gilt es an diesem Tag als richtig, Blumen zu schenken, Frauen einfach dazu zu gratulieren, wie zart und zerbrechlich, schwach sie sind.;2
Die Männer sagen oft, dass sie bereit sind, sie zu beschützen, aber sie müssen hauptsächlich Frauen vor ihnen schützen.;Die Männer sagen oft, dass sie bereit sind, sie zu beschützen, aber sie müssen hauptsächlich Frauen vor ihnen selbst schützen.;2
In einigen Ländern ist es Frauen immer noch nicht erlaubt, eine Ausbildung zu erhalten.;In einigen Ländern ist es den Frauen immer noch nicht erlaubt, eine Ausbildung zu erhalten.;1
Ich finde das unfair, die Arbeit muss unabhängig bezahlt werden.;Ich finde das unfair, die Arbeit muss unabhängig von der Geschlecht bezahlt werden.;2
Der einzige Punkt, an dem Feminismus Frauen verletzen könnte, ist, als Männer begannen, ihre Unzufriedenheit auszudrücken und zu versuchen, sie für Unsinn zu beschuldigen und für ihre Rechte zu kämpfen.;Der einzige Punkt, an dem Feminismus Frauen verletzen könnte, ist, als Männer begannen, ihre Unzufriedenheit auszudrücken und zu versuchen, sie der Unsinnigkeit zu beschuldigen und für ihre Rechte zu kämpfen.;2
Sehr oft wird sinnlos Müll produziert.;Sehr oft wird Müll sinnlos produziert.;2
Viele Menschen widmen ihrer Leben der Suche nach Glück.;Viele Menschen widmen ihr Leben der Suche nach Glück.;2
Aber sie haben nicht einmal eine Ahnung, was Glück ist.;Aber sie haben nicht einmal eine Ahnung davon, was Glück ist.;1
Glück ist eine erfundene Utopie, ein alternatives Lebensszenario, das uns daran hindert, sich über das zu freuen, was wir bereits haben.;Glück ist eine erfundene Utopie, ein alternatives Lebensszenario, das uns daran hindert, sich darüber zu freuen, was wir bereits haben.;2
So suchen die Menschen Gott, die Geheimnisse des Kosmos, das Leben nach dem Tod, den Sinn des Lebens und andere ewige Fragen.;So suchen die Menschen Gott, die Geheimnisse des Kosmos, das Leben nach dem Tod, den Sinn des Lebens und Antworten auf andere ewige Fragen.;2
Es ist nicht nachvollziehbar, weil der Mensch nicht vorstellen kann, was er noch nie gesehen hat,;Es ist nicht nachvollziehbar, weil der Mensch sich nicht vorstellen kann, was er noch nie gesehen hat,;2
Er ist der letzte.;Er ist auch der letzte.;2
Liebe, Erziehung, Familie, Heimat sind spurlos verschwanden.;Liebe, Erziehung, Familie, Heimat sind spurlos verschwunden.;2
Aber alles verdunstete, sobald der wichtigste menschliche Wert verschwand - menschlich zu sein.;Aber alles verdunstete, sobald der wichtigste menschliche Wert verschwunden ist - menschlich zu sein.;1
Es ist unser Geschenk, ohne das die Welt zusammenbrechen wird.;Es ist unser Geschenk, ohne das die Welt zusammenbrechen würde.;1
Es Ist Ihre Leistungen, Erfolge und Siege.;Es sind Ihre Leistungen, Erfolge und Siege.;2
Mann kann sich an zwei der größten und schrecklichsten Menschen des zwanzigsten Jahrhunderts erinnern - Hitler und Stalin.;Man kann sich an zwei der größten und schrecklichsten Menschen des zwanzigsten Jahrhunderts erinnern - Hitler und Stalin.;2
Sie schrieben Geschichte, große Taten begingen, aber leider verloren beide die Menschlichkeit und blieben im Gedächtnis der Mehrheit als blutige Tyrannen.;Sie schrieben Geschichte, begingen große Taten, aber leider verloren beide die Menschlichkeit und blieben im Gedächtnis der Mehrheit als blutige Tyrannen.;2
Wir sind Menschen, nicht weil wir Bewusstsein haben, nicht weil wir sprechen, schaffen und arbeiten können.;Wir sind Menschen, nicht weil wir Bewusstsein haben, nicht weil wir sprechen, herstellen und arbeiten können.;2
